题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
38,多选题,否,以下哪些指令可以改变世界？,/time,/weather,/gamerule,/worldborder,ABCD,世界操作指令
39,多选题,否,以下哪些指令可以在命令方块中使用？,/tp,/give,/summon,/以上都可以,ABCD,命令方块可用指令
40,多选题,否,以下哪些指令需要管理员权限？,/gamemode,/give,/time,/weather,ABCD,管理员权限指令
41,多选题,否,以下哪些指令可以设置权限？,/op,/deop,/whitelist,/ban,ABCD,权限设置指令
42,多选题,否,以下哪些指令可以操作分数板？,/scoreboard,/team,/tag,/bossbar,ABCD,分数板操作指令
43,多选题,否,以下哪些指令可以检测位置？,/execute,/testforblock,/locate,/tp,ABC,位置检测指令
44,多选题,否,以下哪些指令可以生成结构？,/setblock,/fill,/clone,/place,ABCD,结构生成指令
45,多选题,否,以下哪些指令可以操作数据？,/data,/execute,/scoreboard,/tag,ABCD,数据操作指令
46,多选题,否,以下哪些指令可以播放效果？,/playsound,/particle,/title,/effect,ABCD,效果播放指令
47,多选题,否,以下哪些指令可以操作函数？,/function,/execute,/schedule,/reload,ABC,函数操作指令
48,多选题,否,以下哪些指令可以操作战利品？,/loot,/give,/clear,/replaceitem,ABCD,战利品操作指令
49,多选题,否,以下哪些指令可以操作属性？,/attribute,/effect,/enchant,/item,ABCD,属性操作指令
50,多选题,否,以下哪些指令可以调试？,/debug,/perf,/tick,/以上都可以,A,调试指令
51,多选题,否,以下哪些指令可以管理玩家？,/kick,/ban,/pardon,/op,ABCD,玩家管理指令
52,多选题,否,以下哪些指令可以设置游戏规则？,/gamerule,/difficulty,/time,/weather,ABCD,游戏规则指令
53,多选题,否,以下哪些指令可以显示信息？,/tellraw,/say,/me,/msg,ABCD,信息显示指令
54,多选题,否,以下哪些指令可以操作方块？,/setblock,/fill,/clone,/place,ABCD,方块操作指令
55,多选题,否,以下哪些指令可以操作实体？,/summon,/kill,/tp,/data,ABCD,实体操作指令
56,多选题,否,以下哪些指令可以设置世界？,/worldborder,/gamerule,/difficulty,/time,ABCD,世界设置指令
57,多选题,否,以下哪些指令可以调试游戏？,/debug,/perf,/tick,/jfr,ABCD,调试指令
58,多选题,否,以下哪些指令可以管理服务器？,/stop,/save,/whitelist,/banlist,ABCD,服务器管理指令
59,多选题,否,以下哪些指令可以操作NBT数据？,/data,/execute,/item,/blockdata,ABCD,NBT数据指令
60,多选题,否,以下哪些指令可以设置游戏模式？,/gamemode,/defaultgamemode,/difficulty,/gamerule,ABCD,游戏模式指令
