题库分类,题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
生存,18,单选题,否,以下哪种药水可以治疗僵尸村民？,治疗药水,虚弱药水+金苹果,再生药水,力量药水,B,僵尸村民治疗
生存,19,单选题,否,如何获得三叉戟？,击杀溺尸,钓鱼,海底遗迹,与村民交易,A,三叉戟获取
生存,20,单选题,否,以下哪种方块可以用来制作信标基座？,铁块,金块,钻石块,以上都可以,D,信标基座材料
生存,21,单选题,否,如何获得海洋之心？,击杀溺尸,海底神殿宝箱,钓鱼,与村民交易,B,海洋之心获取
生存,22,单选题,否,以下哪种生物会爆炸？,僵尸,骷髅,苦力怕,末影人,C,爆炸生物识别
生存,23,单选题,否,如何获得附魔金苹果？,合成,地牢宝箱,与村民交易,以上都可以,B,附魔金苹果获取
生存,24,单选题,否,以下哪种矿物需要铁镐及以上才能挖掘？,煤矿石,铁矿石,金矿石,青金石矿石,C,矿物挖掘等级
生存,25,单选题,否,如何获得鞘翅修复材料？,皮革,幻翼膜,兔子皮,以上都可以,B,鞘翅修复材料
生存,26,多选题,是,以下哪些生物会在夜间生成？,僵尸,骷髅,苦力怕,末影人,ABCD,夜间生成生物（必答）
生存,27,多选题,否,以下哪些食物可以恢复饥饿值？,面包,牛排,苹果,胡萝卜,ABCD,可食用食物
生存,28,多选题,否,以下哪些矿物可以在主世界找到？,铁矿石,金矿石,钻石矿石,煤矿石,ABCD,主世界矿物分布
生存,29,多选题,否,以下哪些生物可以驯服？,狼,猫,马,鹦鹉,ABCD,可驯服生物列表
生存,30,多选题,否,以下哪些方块可以用来制作传送门？,黑曜石,末地传送门框架,哭泣的黑曜石,基岩,AB,传送门制作方块
生存,31,多选题,否,以下哪些药水对玩家有益？,治疗药水,迅捷药水,夜视药水,隐身药水,ABCD,有益药水类型
生存,32,多选题,否,以下哪些生物会掉落特殊物品？,末影人-末影珍珠,烈焰人-烈焰棒,凋灵骷髅-凋灵骷髅头,恶魂-恶魂之泪,ABCD,生物掉落物
生存,33,多选题,否,以下哪些方块可以用来制作信标基座？,铁块,金块,钻石块,绿宝石块,ABCD,信标基座材料
生存,34,多选题,否,以下哪些生物会在下界生成？,僵尸猪灵,烈焰人,恶魂,凋灵骷髅,ABCD,下界生物分布
生存,35,多选题,否,以下哪些食物可以用来繁殖动物？,小麦-牛/羊,胡萝卜-猪/兔子,种子-鸡,甜浆果-狐狸,ABCD,动物繁殖食物
生存,36,多选题,否,以下哪些方块可以用来制作药水？,地狱疣,蜘蛛眼,恶魂之泪,烈焰粉,ABCD,药水制作材料
生存,37,多选题,否,以下哪些生物会在末地生成？,末影人,末影龙,潜影贝,末影螨,ABCD,末地生物分布
生存,38,多选题,否,以下哪些物品可以用来附魔？,附魔台,铁砧,磨石,书架,ABD,附魔相关物品
生存,39,多选题,否,以下哪些生物会游泳？,僵尸,骷髅,溺尸,末影人,AC,会游泳的生物
生存,40,多选题,否,以下哪些方块可以用来制作床？,羊毛,木板,竹板,下界木板,ABC,床的制作材料
生存,41,多选题,否,以下哪些生物会攻击玩家？,僵尸,骷髅,苦力怕,末影人,ABCD,敌对生物列表
生存,42,多选题,否,以下哪些方块可以用来制作工具？,木头,石头,铁锭,钻石,ABCD,工具制作材料
生存,43,多选题,否,以下哪些生物会掉落食物？,猪,牛,羊,鸡,ABCD,食物来源生物
生存,44,多选题,否,以下哪些方块可以用来制作盔甲？,铁锭,金锭,钻石,下界合金锭,ABCD,盔甲制作材料
生存,45,多选题,否,以下哪些生物会在水中生成？,溺尸,守卫者,鱿鱼,海豚,ABCD,水生生物分布
生存,46,多选题,否,以下哪些方块可以用来制作武器？,木头,石头,铁锭,钻石,ABCD,武器制作材料
生存,47,多选题,否,以下哪些生物可以被繁殖？,猪,牛,羊,鸡,ABCD,可繁殖生物
生存,48,多选题,否,以下哪些方块可以用来制作熔炉？,圆石,黑石,深板岩,平滑石头,ABC,熔炉制作材料
生存,49,多选题,否,以下哪些生物会掉落经验值？,僵尸,骷髅,苦力怕,末影人,ABCD,经验值来源
生存,50,多选题,否,以下哪些方块可以用来制作工作台？,橡木木板,云杉木板,白桦木板,深色橡木木板,ABCD,工作台制作材料
养老,1,单选题,是,小麦需要什么才能生长？,水,光,骨粉,以上都需要,D,作物生长条件
养老,2,单选题,否,如何获得南瓜？,击杀怪物,自然生成,种植南瓜种子,与村民交易,C,南瓜获取方式
养老,3,单选题,否,以下哪种动物可以产奶？,猪,羊,牛,鸡,C,产奶动物识别
养老,4,单选题,否,如何获得羊毛？,击杀羊,剪羊毛,与村民交易,以上都可以,D,羊毛获取方式
养老,5,单选题,否,以下哪种作物可以用来繁殖鸡？,小麦种子,胡萝卜,马铃薯,甜菜根,A,鸡繁殖食物
养老,6,单选题,否,如何获得蜂蜜？,击杀蜜蜂,使用玻璃瓶对蜂巢使用,与村民交易,地牢宝箱,B,蜂蜜获取方式
养老,7,单选题,否,以下哪种动物可以剪毛？,牛,羊,猪,鸡,B,可剪毛动物
养老,8,单选题,否,如何获得鸡蛋？,击杀鸡,鸡自然产蛋,与村民交易,地牢宝箱,B,鸡蛋获取方式
养老,9,单选题,否,以下哪种作物需要水才能种植？,小麦,西瓜,南瓜,以上都需要,D,作物种植条件
养老,10,单选题,否,如何获得甘蔗？,击杀怪物,自然生成,种植甘蔗,与村民交易,B,甘蔗获取方式
养老,11,单选题,否,以下哪种动物可以驯服？,猪,羊,猫,牛,C,可驯服动物
养老,12,单选题,否,如何获得蘑菇？,击杀怪物,自然生成,种植蘑菇,以上都可以,D,蘑菇获取方式
养老,13,单选题,否,以下哪种作物可以用来繁殖牛？,小麦,胡萝卜,马铃薯,甜菜根,A,牛繁殖食物
养老,14,单选题,否,如何获得甜浆果？,击杀怪物,自然生成,种植甜浆果丛,与村民交易,B,甜浆果获取
养老,15,单选题,否,以下哪种动物可以产蛋？,猪,羊,牛,鸡,D,产蛋动物识别
养老,16,单选题,否,如何获得兔子脚？,击杀兔子,与村民交易,地牢宝箱,以上都可以,A,兔子脚获取
养老,17,单选题,否,以下哪种作物可以用来繁殖羊？,小麦,胡萝卜,马铃薯,甜菜根,A,羊繁殖食物
养老,18,单选题,否,如何获得可可豆？,击杀怪物,丛林木自然生成,种植可可豆,与村民交易,B,可可豆获取
养老,19,单选题,否,以下哪种动物可以骑乘？,猪,羊,牛,马,D,可骑乘动物
养老,20,单选题,否,如何获得仙人掌？,击杀怪物,沙漠自然生成,种植仙人掌,与村民交易,B,仙人掌获取
养老,21,多选题,是,以下哪种作物可以用来繁殖猪？,小麦,胡萝卜,马铃薯,甜菜根,BCD,猪繁殖食物（必答）
养老,22,多选题,否,以下哪些动物可以产奶？,猪,羊,牛,山羊,CD,产奶动物列表
养老,23,多选题,否,以下哪些作物需要水才能种植？,小麦,西瓜,南瓜,甘蔗,ABCD,需水作物列表
养老,24,多选题,否,以下哪些动物可以驯服？,猫,狼,马,驴,ABCD,可驯服动物列表
养老,25,多选题,否,以下哪些作物可以用来繁殖动物？,小麦-牛/羊,胡萝卜-猪,种子-鸡,甜浆果-狐狸,ABCD,动物繁殖食物对应
养老,26,多选题,否,以下哪些动物可以剪毛？,羊,雪傀儡,牛,猪,AB,可剪毛生物
养老,27,多选题,否,以下哪些作物可以在主世界种植？,小麦,胡萝卜,马铃薯,甜菜根,ABCD,主世界作物
养老,28,多选题,否,以下哪些动物可以产蛋？,鸡,海龟,青蛙,鸭子,ABC,产蛋动物列表
养老,29,多选题,否,以下哪些作物需要光照才能生长？,小麦,西瓜,南瓜,甘蔗,ABC,需光作物
养老,30,多选题,否,以下哪些动物可以繁殖？,猪,牛,羊,鸡,ABCD,可繁殖动物
养老,31,多选题,否,以下哪些作物可以用来制作食物？,小麦-面包,马铃薯-烤马铃薯,胡萝卜-金胡萝卜,甜菜根-甜菜汤,ABCD,作物加工食物
养老,32,多选题,否,以下哪些动物会掉落食物？,猪-猪肉,牛-牛肉,羊-羊肉,鸡-鸡肉,ABCD,动物掉落食物
养老,33,多选题,否,以下哪些作物可以自动收获？,小麦,胡萝卜,马铃薯,甜菜根,ABCD,可自动收获作物
养老,34,多选题,否,以下哪些动物可以被驯服后跟随玩家？,狼,猫,鹦鹉,狐狸,ABCD,跟随玩家的动物
养老,35,多选题,否,以下哪些作物可以在下界生长？,蘑菇,地狱疣,甘蔗,仙人掌,AB,下界可种作物
养老,36,多选题,否,以下哪些动物可以骑乘？,马,驴,骡,猪,ABCD,可骑乘动物
养老,37,多选题,否,以下哪些作物需要骨粉催熟？,小麦,西瓜,南瓜,树苗,ABCD,可催熟作物
养老,38,多选题,否,以下哪些动物会主动攻击玩家？,狼（未驯服时被攻击）,猫,蜜蜂（被攻击时）,北极熊,ACD,可能攻击玩家的中立动物
养老,39,多选题,否,以下哪些作物可以用来制作染料？,骨粉-白色,可可豆-棕色,甜菜根-红色,墨囊-黑色,ABCD,作物制作染料
养老,40,多选题,否,以下哪些动物可以产幼崽？,猪,牛,羊,鸡,ABCD,可繁殖幼崽动物
红石,1,单选题,是,红石信号的最大传输距离是多少格？,8格,15格,16格,32格,B,红石信号传输距离
红石,2,单选题,否,以下哪种方块可以传输红石信号？,石头,红石块,泥土,木板,B,红石信号传输方块
红石,3,单选题,否,红石中继器的作用是什么？,放大信号,延迟信号,改变信号方向,以上都可以,D,红石中继器功能
红石,4,单选题,否,红石比较器可以检测什么？,容器内物品数量,方块状态,红石信号强度,以上都可以,D,红石比较器功能
红石,5,单选题,否,活塞可以推动多少个方块？,8个,12个,16个,20个,B,活塞推动限制
红石,6,单选题,否,以下哪种方块不能被活塞推动？,石头,黑曜石,泥土,木板,B,活塞推动限制
红石,7,单选题,否,观察者可以检测什么？,方块放置,方块破坏,方块状态变化,以上都可以,D,观察者检测功能
红石,8,单选题,否,红石火把的作用是什么？,提供信号,反转信号,作为光源,以上都可以,D,红石火把功能
红石,9,单选题,否,漏斗可以连接到哪些方块？,箱子,熔炉,漏斗,以上都可以,D,漏斗连接方块
红石,10,单选题,否,投掷器和发射器有什么区别？,没有区别,投掷器投出物品发射器使用物品,发射器投出物品投掷器使用物品,名称不同,B,投掷器与发射器区别
红石,11,单选题,否,红石灯需要多少信号强度才能点亮？,1,8,15,任何强度,D,红石灯点亮条件
红石,12,单选题,否,以下哪种方块可以阻挡红石信号？,石头,玻璃,空气,以上都不可以,A,红石信号阻挡
红石,13,单选题,否,粘性活塞和普通活塞有什么区别？,没有区别,粘性活塞可以拉回方块,普通活塞可以拉回方块,粘性活塞推动更快,B,粘性活塞特性
红石,14,单选题,否,红石信号的最快传输速度是多少？,即时,每tick 1格,每秒 10格,每秒 15格,B,红石信号速度
红石,15,单选题,否,以下哪种方块可以产生红石信号？,按钮,压力板,拉杆,以上都可以,D,红石信号源
红石,16,单选题,否,红石中继器的最大延迟是多少？,1 tick,2 tick,3 tick,4 tick,D,中继器延迟设置
红石,17,单选题,否,以下哪种方块可以检测玩家？,压力板,绊线钩,观察者,以上都可以,D,玩家检测方块
红石,18,单选题,否,红石块有什么特殊性质？,可以被活塞推动,持续输出信号,不能被破坏,以上都可以,B,红石块特性
红石,19,单选题,否,以下哪种方块可以储存红石信号？,红石中继器,红石比较器,红石火把,以上都不可以,A,红石信号储存
红石,20,单选题,否,侦测器的输出信号持续多长时间？,1 tick,2 tick,5 tick,10 tick,A,侦测器信号持续时间
红石,21,多选题,是,以下哪些方块可以产生红石信号？,红石块,红石火把,阳光传感器,以上都可以,ABC,红石信号源（必答）
红石,22,多选题,否,以下哪些方块可以传输红石信号？,红石粉,红石中继器,红石比较器,红石块,ABC,红石信号传输方块
红石,23,多选题,否,以下哪些方块可以检测物品？,漏斗,投掷器,箱子,红石比较器,AD,物品检测方块
红石,24,多选题,否,以下哪些方块可以延迟红石信号？,红石中继器,红石比较器,红石火把,观察者,AB,信号延迟方块
红石,25,多选题,否,以下哪些方块可以被活塞推动？,石头,泥土,黑曜石,基岩,AB,可推动方块
红石,26,多选题,否,以下哪些是红石信号源？,按钮,压力板,拉杆,绊线钩,ABCD,红石信号源列表
红石,27,多选题,否,以下哪些方块可以改变红石信号方向？,红石中继器,红石比较器,红石火把,红石粉,ABCD,信号方向改变
红石,28,多选题,否,以下哪些方块可以检测生物？,压力板,绊线钩,阳光传感器,观察者,AB,生物检测方块
红石,29,多选题,否,以下哪些方块可以自动化农场？,活塞,观察者,漏斗,红石中继器,ABCD,自动化农场方块
红石,30,多选题,否,以下哪些方块可以储存物品？,箱子,漏斗,投掷器,发射器,ABCD,物品储存方块
红石,31,多选题,否,以下哪些是红石电路的基本元件？,红石粉,红石火把,红石中继器,红石比较器,ABCD,红石基本元件
红石,32,多选题,否,以下哪些方块可以检测光照？,阳光传感器,观察者,红石灯,红石比较器,A,光照检测方块
红石,33,多选题,否,以下哪些方块可以制作时钟电路？,红石中继器,红石火把,红石比较器,观察者,ABC,时钟电路元件
红石,34,多选题,否,以下哪些方块可以制作记忆电路？,红石火把,红石中继器,活塞,红石比较器,ABC,记忆电路元件
红石,35,多选题,否,以下哪些方块可以检测容器？,红石比较器,漏斗,投掷器,发射器,AB,容器检测方块
红石,36,多选题,否,以下哪些方块可以制作陷阱？,活塞,发射器,TNT,压力板,ABCD,陷阱制作方块
红石,37,多选题,否,以下哪些方块可以检测液体？,观察者,红石比较器,漏斗,红石中继器,AC,液体检测方块
红石,38,多选题,否,以下哪些方块可以制作自动门？,活塞,红石,压力板,观察者,ABCD,自动门制作方块
红石,39,多选题,否,以下哪些方块可以制作分类器？,漏斗,红石比较器,红石中继器,红石火把,ABCD,分类器制作方块
红石,40,多选题,否,以下哪些方块可以制作刷怪塔？,漏斗,红石,活塞,发射器,ABCD,刷怪塔制作方块
指令,1,单选题,是,以下哪个指令可以传送到指定坐标？,/tp,/teleport,/move,/goto,A,传送指令
指令,2,单选题,否,以下哪个指令可以给予玩家物品？,/give,/item,/add,/get,A,给予物品指令
指令,3,单选题,否,以下哪个指令可以设置玩家游戏模式？,/gamemode,/gm,/mode,/game,A,游戏模式指令
指令,4,单选题,否,以下哪个指令可以改变时间？,/time,/day,/night,/clock,A,时间指令
指令,5,单选题,否,以下哪个指令可以改变天气？,/weather,/rain,/sun,/storm,A,天气指令
指令,6,单选题,否,以下哪个指令可以生成生物？,/summon,/spawn,/create,/entity,A,生成生物指令
指令,7,单选题,否,以下哪个指令可以清除玩家物品？,/clear,/remove,/delete,/erase,A,清除物品指令
指令,8,单选题,否,以下哪个指令可以设置出生点？,/spawnpoint,/setspawn,/home,/respawn,A,出生点指令
指令,9,单选题,否,以下哪个指令可以设置世界出生点？,/setworldspawn,/worldspawn,/spawn,/setspawn,A,世界出生点指令
指令,10,单选题,否,以下哪个指令可以给予玩家效果？,/effect,/potion,/buff,/status,A,效果指令
指令,11,单选题,否,以下哪个指令可以检测方块？,/testforblock,/checkblock,/detectblock,/findblock,A,检测方块指令
指令,12,单选题,否,以下哪个指令可以填充方块？,/fill,/setblock,/place,/build,A,填充方块指令
指令,13,单选题,否,以下哪个指令可以克隆方块？,/clone,/copy,/duplicate,/replicate,A,克隆方块指令
指令,14,单选题,否,以下哪个指令可以执行其他指令？,/execute,/run,/do,/perform,A,执行指令
指令,15,单选题,否,以下哪个指令可以检测实体？,/testfor,/detect,/find,/search,A,检测实体指令
指令,16,单选题,否,以下哪个指令可以设置分数？,/scoreboard,/score,/points,/rank,A,分数指令
指令,17,单选题,否,以下哪个指令可以播放声音？,/playsound,/sound,/audio,/music,A,播放声音指令
指令,18,单选题,否,以下哪个指令可以发送消息？,/tell,/msg,/say,/以上都可以,D,发送消息指令
指令,19,单选题,否,以下哪个指令可以设置标题？,/title,/header,/display,/show,A,标题指令
指令,20,单选题,否,以下哪个指令可以杀死实体？,/kill,/die,/destroy,/remove,A,杀死实体指令
指令,21,多选题,是,以下哪些指令可以改变游戏状态？,/gamemode,/gamerule,/difficulty,/time,ABCD,游戏状态指令（必答）
指令,22,多选题,否,以下哪些指令可以操作方块？,/setblock,/fill,/clone,/testforblock,ABCD,方块操作指令
指令,23,多选题,否,以下哪些指令可以操作实体？,/summon,/kill,/tp,/effect,ABCD,实体操作指令
指令,24,多选题,否,以下哪些指令可以操作玩家？,/tp,/give,/clear,/effect,ABCD,玩家操作指令
指令,25,多选题,否,以下哪些指令可以检测条件？,/testfor,/testforblock,/execute,/scoreboard,ABCD,条件检测指令
指令,26,多选题,否,以下哪些指令可以显示信息？,/tell,/say,/title,/scoreboard,ABCD,信息显示指令
指令,27,多选题,否,以下哪些指令可以操作物品？,/give,/clear,/replaceitem,/enchant,ABCD,物品操作指令
指令,28,多选题,否,以下哪些指令可以改变世界？,/time,/weather,/gamerule,/worldborder,ABCD,世界操作指令
指令,29,多选题,否,以下哪些指令可以在命令方块中使用？,/tp,/give,/summon,/以上都可以,ABCD,命令方块可用指令
指令,30,多选题,否,以下哪些指令需要管理员权限？,/gamemode,/give,/time,/weather,ABCD,管理员权限指令
指令,31,多选题,否,以下哪些指令可以设置权限？,/op,/deop,/whitelist,/ban,ABCD,权限设置指令
指令,32,多选题,否,以下哪些指令可以操作分数板？,/scoreboard,/team,/tag,/bossbar,ABCD,分数板操作指令
指令,33,多选题,否,以下哪些指令可以检测位置？,/execute,/testforblock,/locate,/tp,ABC,位置检测指令
指令,34,多选题,否,以下哪些指令可以生成结构？,/setblock,/fill,/clone,/place,ABCD,结构生成指令
指令,35,多选题,否,以下哪些指令可以操作数据？,/data,/execute,/scoreboard,/tag,ABCD,数据操作指令
指令,36,多选题,否,以下哪些指令可以播放效果？,/playsound,/particle,/title,/effect,ABCD,效果播放指令
指令,37,多选题,否,以下哪些指令可以操作函数？,/function,/execute,/schedule,/reload,ABC,函数操作指令
指令,38,多选题,否,以下哪些指令可以操作战利品？,/loot,/give,/clear,/replaceitem,ABCD,战利品操作指令
指令,39,多选题,否,以下哪些指令可以操作属性？,/attribute,/effect,/enchant,/item,ABCD,属性操作指令
指令,40,多选题,否,以下哪些指令可以调试？,/debug,/perf,/tick,/以上都可以,A,调试指令
服务器规则,1,单选题,是,在服务器中以下哪种行为是被禁止的？,建造房屋,挖矿,使用作弊客户端,与玩家交易,C,服务器禁止行为
服务器规则,2,单选题,是,如果发现其他玩家作弊你应该怎么做？,自己也作弊,举报给管理员,无视,帮助作弊者,B,发现作弊处理方式
服务器规则,3,单选题,否,在服务器中以下哪种行为是允许的？,恶意破坏他人建筑,偷窃他人物品,正常游戏交流,使用漏洞刷物品,C,服务器允许行为
服务器规则,4,单选题,否,如果与其他玩家发生冲突你应该怎么做？,辱骂对方,私下解决,向管理员举报,使用作弊报复,C,玩家冲突处理
服务器规则,5,单选题,是,在服务器中以下哪种行为会被封禁？,建造大型建筑,使用作弊客户端,挖矿收集资源,与玩家交易,B,封禁行为
服务器规则,6,单选题,否,服务器禁止使用哪些客户端？,官方客户端,作弊客户端,Optifine优化客户端,所有第三方客户端,B,禁止客户端类型
服务器规则,7,单选题,是,如果发现服务器漏洞你应该怎么做？,利用漏洞获取利益,保密不告诉任何人,立即向管理员报告,告诉其他玩家一起利用,C,漏洞处理方式
服务器规则,8,单选题,否,在服务器中以下哪种行为是正确的？,尊重其他玩家,随意拿取他人物品,恶意PK,刷屏广告,A,正确行为
服务器规则,9,单选题,否,服务器禁止哪些类型的红石机器？,自动农场,严重卡服的机器,刷铁机,所有红石机器,B,禁止红石机器
