题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
36,多选题,否,以下哪些是红石信号源？,按钮,压力板,拉杆,绊线钩,ABCD,红石信号源列表
37,多选题,否,以下哪些方块可以改变红石信号方向？,红石中继器,红石比较器,红石火把,红石粉,ABCD,信号方向改变
38,多选题,否,以下哪些方块可以检测生物？,压力板,绊线钩,阳光传感器,观察者,AB,生物检测方块
39,多选题,否,以下哪些方块可以自动化农场？,活塞,观察者,漏斗,红石中继器,ABCD,自动化农场方块
40,多选题,否,以下哪些方块可以储存物品？,箱子,漏斗,投掷器,发射器,ABCD,物品储存方块
41,多选题,否,以下哪些是红石电路的基本元件？,红石粉,红石火把,红石中继器,红石比较器,ABCD,红石基本元件
42,多选题,否,以下哪些方块可以检测光照？,阳光传感器,观察者,红石灯,红石比较器,A,光照检测方块
43,多选题,否,以下哪些方块可以制作时钟电路？,红石中继器,红石火把,红石比较器,观察者,ABC,时钟电路元件
44,多选题,否,以下哪些方块可以制作记忆电路？,红石火把,红石中继器,活塞,红石比较器,ABC,记忆电路元件
45,多选题,否,以下哪些方块可以检测容器？,红石比较器,漏斗,投掷器,发射器,AB,容器检测方块
46,多选题,否,以下哪些方块可以制作陷阱？,活塞,发射器,TNT,压力板,ABCD,陷阱制作方块
47,多选题,否,以下哪些方块可以检测液体？,观察者,红石比较器,漏斗,红石中继器,AC,液体检测方块
48,多选题,否,以下哪些方块可以制作自动门？,活塞,红石,压力板,观察者,ABCD,自动门制作方块
49,多选题,否,以下哪些方块可以制作分类器？,漏斗,红石比较器,红石中继器,红石火把,ABCD,分类器制作方块
50,多选题,否,以下哪些方块可以制作刷怪塔？,漏斗,红石,活塞,发射器,ABCD,刷怪塔制作方块
51,多选题,否,以下哪些方块可以制作红石时钟？,红石中继器,红石火把,红石比较器,观察者,ABCD,红石时钟元件
52,多选题,否,以下哪些方块可以检测方块更新？,观察者,红石比较器,红石中继器,红石火把,A,方块更新检测
53,多选题,否,以下哪些方块可以制作电梯？,活塞,灵魂沙,岩浆块,水,ABCD,电梯制作方块
54,多选题,否,以下哪些方块可以制作自动农场？,观察者,活塞,漏斗,水,ABCD,自动农场元件
55,多选题,否,以下哪些方块可以制作隐藏门？,粘性活塞,活塞,红石,压力板,ABCD,隐藏门制作
56,多选题,否,以下哪些方块可以制作物品传输系统？,漏斗,投掷器,发射器,水流,ABCD,物品传输系统
57,多选题,否,以下哪些方块可以制作陷阱？,TNT,岩浆,仙人掌,甜浆果丛,ABCD,陷阱材料
58,多选题,否,以下哪些方块可以制作音乐装置？,音符盒,红石,压力板,绊线钩,ABCD,音乐装置元件
59,多选题,否,以下哪些方块可以制作防御系统？,发射器,岩浆,仙人掌,TNT,ABCD,防御系统材料
60,多选题,否,以下哪些方块可以制作照明系统？,红石灯,萤石,海晶灯,火把,ABCD,照明系统材料
