题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
18,单选题,否,铁栏杆和玻璃板连接时会发生什么？,不会连接,会连接,会形成十字形,会消失,A,方块连接规则
19,单选题,否,以下哪种方块可以用来制作自动门？,活塞,粘性活塞,观察者,以上都可以,D,自动门制作
20,单选题,否,深板岩需要什么等级的镐才能采集？,木镐,石镐,铁镐,钻石镐,B,深板岩采集工具
21,单选题,否,以下哪些方块可以用来建造屋顶？,楼梯,台阶,方块,以上都可以,D,屋顶建筑材料
22,单选题,否,如何获得平滑石头？,直接挖掘石头,烧炼石头,烧炼圆石,精准采集,B,平滑石头获取
23,单选题,否,以下哪种方块不能被爆炸破坏？,石头,黑曜石,基岩,末地石,C,爆炸抗性方块
24,单选题,否,羊毛可以用什么工具更快采集？,任何工具,剪刀,剑,手,B,羊毛采集工具
25,单选题,否,以下哪种方块可以阻止怪物生成？,石头,泥土,地毯,玻璃,C,怪物生成条件
26,单选题,否,如何获得切制铜块？,直接挖掘,在工作台合成,使用切石机,与村民交易,C,切制铜块获取
27,单选题,否,以下哪种方块会随时间氧化？,铁块,铜块,金块,钻石块,B,铜氧化机制
28,单选题,否,避雷针用什么材料制作？,铁锭,铜锭,金锭,下界合金锭,B,避雷针制作材料
29,单选题,否,以下哪种方块可以用来制作水下建筑？,海绵,沙子,玻璃,以上都可以,D,水下建筑材料
30,单选题,否,如何获得深色橡木？,普通橡木树,深色橡木树,云杉树,白桦树,B,深色橡木获取
31,多选题,是,以下哪些方块不能被活塞推动？,黑曜石,哭泣的黑曜石,基岩,以上都是,ABC,活塞推动限制（必答）
32,多选题,否,建筑中常用的装饰性方块包括哪些？,花盆,画,物品展示框,盔甲架,ABCD,装饰方块种类
33,多选题,否,以下哪些方块可以用来建造地板？,羊毛,混凝土,木板,石头,ABCD,地板材料选择
34,多选题,否,哪些方块可以用来制作光源？,火把,灯笼,海晶灯,荧石,ABCD,光源方块类型
35,多选题,否,以下哪些木材种类存在于Minecraft中？,橡木,云杉木,白桦木,樱花木,ABCD,木材种类
36,多选题,否,建筑中常用的半透明方块有哪些？,玻璃,玻璃板,铁栏杆,栅栏门,AB,半透明方块
37,多选题,否,以下哪些方块可以用水流冲走？,沙子,沙砾,泥土,圆石,ABC,水流冲走方块
38,多选题,否,哪些方块可以用来建造水下通道？,门,活板门,栅栏门,楼梯,ABCD,水下通道建造
39,多选题,否,以下哪些是Minecraft中的石质方块？,石头,圆石,石砖,平滑石头,ABCD,石质方块分类
40,多选题,否,建筑中常用的红色系方块有哪些？,红羊毛,红陶瓦,红混凝土,红砂岩,ABCD,红色系方块
41,多选题,否,以下哪些方块可以用来建造中世纪风格建筑？,石砖,圆石,云杉木,苔藓石砖,ABCD,中世纪风格材料
42,多选题,否,哪些方块可以放置在墙上作为装饰？,火把,按钮,拉杆,压力板,ABCD,墙面装饰
43,多选题,否,以下哪些方块可以用来制作陷阱？,TNT,岩浆块,甜浆果丛,仙人掌,ABCD,陷阱制作材料
44,多选题,否,建筑中常用的绿色系方块有哪些？,绿羊毛,绿陶瓦,绿混凝土,苔藓块,ABCD,绿色系方块
45,多选题,否,以下哪些方块可以用来建造现代风格建筑？,混凝土,石英块,玻璃,羊毛,ABCD,现代风格材料
46,多选题,否,哪些方块可以用来建造屋顶边缘？,楼梯,台阶,栅栏,墙,ABCD,屋顶边缘材料
47,多选题,否,以下哪些方块可以用来制作隐蔽入口？,画,活塞,地毯,活板门,ABCD,隐蔽入口制作
48,多选题,否,建筑中常用的白色系方块有哪些？,白羊毛,白陶瓦,白混凝土,石英块,ABCD,白色系方块
49,多选题,否,以下哪些方块可以用来建造水下呼吸空间？,门,活板门,楼梯,栅栏门,ABCD,水下呼吸空间
50,多选题,否,哪些方块可以用来建造花园？,花朵,树苗,草方块,苔藓,ABCD,花园建造材料
